date,num_attendees,event_name,incentive,category
09/24/2020,32,Fall 2020 General Body Meeting,Pizza,GBM
10/28/2021,25,Facilitator Picnic Night,Pizza snacks and desserts,Social
09/23/2021,32,Fall 2021 General Body Meeting,Pizza,GBM
01/13/2022,21,Spring 2022 General Body Meeting # 1,Pizza,GBM
03/10/2022,17,Spring 2022 General Body Meeting #2,Pizza,GBM
04/06/2022,12,Game Night,Games prizes and snacks,Social
09/15/2022,17,VIVA Finance,Pizza,Networking
09/20/2022,10,Accenture HQ Tour,None,Networking
09/20/2022,25,Fall General Body Meeting,Pizza,GBM
09/27/2022,12,HubSpot Meeting,Pizza,Networking
10/05/2022,30,Uber Lunch & Learn,Jason's deli catered meal,Networking
10/11/2022,18,Google Employee Panel,None,Networking
10/12/2022,10,Arts & Crafts Event,Art supplies,Social
10/13/2022,13,Google Technical Mock Interview,None,Networking
10/14/2022,12,Stripe Hacking SWE Internship,Chipotle catered meal,Networking
11/17/2022,7,Friendsgiving,Pies and gingerbread house and games,Social
12/07/2022,14,Finals Study Session,Coffee,Social
02/23/2023,30,Education Extravaganza,Personalized boba and pizza,Social
03/06/2023,10,Uber Paint & Sip,Jason's deli snacks and paint kits,Networking
03/09/2023,4,UKG Event,Pizza and UKG swag,Networking
03/13/2023,1,GEICO Networking Event,GEICO swag,Networking
